"","V1","V2","V3","V4","V5"
"1","CG10002","fkh","FBgn0000659","Drosophila","melanogaster"
"2","CG10037","vvl","FBgn0086680","Drosophila","melanogaster"
"3","CG10159","BEAF-32","FBgn0015602","Drosophila","melanogaster"
"4","CG1028","Antp","FBgn0260642","Drosophila","melanogaster"
"5","CG1030","Scr","FBgn0003339","Drosophila","melanogaster"
"6","CG10325","abd-A","FBgn0000014","Drosophila","melanogaster"
"7","CG1034","bcd","FBgn0000166","Drosophila","melanogaster"
"8","CG10388","Ubx","FBgn0003944","Drosophila","melanogaster"
"9","CG1046","zen","FBgn0004053","Drosophila","melanogaster"
"10","CG10571","ara","FBgn0015904","Drosophila","melanogaster"
"11","CG10601","mirr","FBgn0014343","Drosophila","melanogaster"
"12","CG10605","caup","FBgn0015919","Drosophila","melanogaster"
"13","CG10619","tup","FBgn0003896","Drosophila","melanogaster"
"14","CG1071","E2f2","FBgn0024371","Drosophila","melanogaster"
"15","CG11049","sv","FBgn0005561","Drosophila","melanogaster"
"16","CG11094","dsx","FBgn0000504","Drosophila","melanogaster"
"17","CG11121","so","FBgn0003460","Drosophila","melanogaster"
"18","CG11186","toy","FBgn0019650","Drosophila","melanogaster"
"19","CG11354","Lim1","FBgn0026411","Drosophila","melanogaster"
"20","CG11387","ct","FBgn0004198","Drosophila","melanogaster"
"21","CG11648","Abd-B","FBgn0000015","Drosophila","melanogaster"
"22","CG11798","chn","FBgn0015371","Drosophila","melanogaster"
"23","CG11924","Cf2","FBgn0000286","Drosophila","melanogaster"
"24","CG11987","tgo","FBgn0264075","Drosophila","melanogaster"
"25","CG12154","oc","FBgn0004102","Drosophila","melanogaster"
"26","CG12245","gcm","FBgn0014179","Drosophila","melanogaster"
"27","CG12287","pdm2","FBgn0004394","Drosophila","melanogaster"
"28","CG12399","Mad","FBgn0011648","Drosophila","melanogaster"
"29","CG1264","lab","FBgn0002522","Drosophila","melanogaster"
"30","CG12767","Dlip3","FBgn0040465","Drosophila","melanogaster"
"31","CG1322","zfh1","FBgn0004606","Drosophila","melanogaster"
"32","CG1343","Sp1","FBgn0020378","Drosophila","melanogaster"
"33","CG1374","tsh","FBgn0003866","Drosophila","melanogaster"
"34","CG1378","tll","FBgn0003720","Drosophila","melanogaster"
"35","CG14029","vri","FBgn0016076","Drosophila","melanogaster"
"36","CG1429","Mef2","FBgn0011656","Drosophila","melanogaster"
"37","CG1447","Ptx1","FBgn0020912","Drosophila","melanogaster"
"38","CG1464","ey","FBgn0005558","Drosophila","melanogaster"
"39","CG15845","Adf1","FBgn0000054","Drosophila","melanogaster"
"40","CG16738","slp1","FBgn0003430","Drosophila","melanogaster"
"41","CG1689","lz","FBgn0002576","Drosophila","melanogaster"
"42","CG17077","pnt","FBgn0003118","Drosophila","melanogaster"
"43","CG17100","cwo","FBgn0259938","Drosophila","melanogaster"
"44","CG17117","hth","FBgn0001235","Drosophila","melanogaster"
"45","CG17228","pros","FBgn0004595","Drosophila","melanogaster"
"46","CG1759","cad","FBgn0000251","Drosophila","melanogaster"
"47","CG17743","pho","FBgn0002521","Drosophila","melanogaster"
"48","CG1775","Med","FBgn0011655","Drosophila","melanogaster"
"49","CG17888","Pdp1","FBgn0016694","Drosophila","melanogaster"
"50","CG17958","Sry-delta","FBgn0003512","Drosophila","melanogaster"
"51","CG18024","SoxN","FBgn0029123","Drosophila","melanogaster"
"52","CG18362","Mondo","FBgn0032940","Drosophila","melanogaster"
"53","CG18455","Optix","FBgn0025360","Drosophila","melanogaster"
"54","CG1856","ttk","FBgn0003870","Drosophila","melanogaster"
"55","CG1864","Hr38","FBgn0014859","Drosophila","melanogaster"
"56","CG18647","bin","FBgn0045759","Drosophila","melanogaster"
"57","CG1922","onecut","FBgn0028996","Drosophila","melanogaster"
"58","CG2047","ftz","FBgn0001077","Drosophila","melanogaster"
"59","CG2102","cas","FBgn0004878","Drosophila","melanogaster"
"60","CG2125","ci","FBgn0004859","Drosophila","melanogaster"
"61","CG2189","Dfd","FBgn0000439","Drosophila","melanogaster"
"62","CG2275","Jra","FBgn0001291","Drosophila","melanogaster"
"63","CG2328","eve","FBgn0000606","Drosophila","melanogaster"
"64","CG2692","gsb-n","FBgn0001147","Drosophila","melanogaster"
"65","CG2711","dwg","FBgn0000520","Drosophila","melanogaster"
"66","CG2819","Pph13","FBgn0023489","Drosophila","melanogaster"
"67","CG2851","Gsc","FBgn0010323","Drosophila","melanogaster"
"68","CG2939","slp2","FBgn0004567","Drosophila","melanogaster"
"69","CG2956","twi","FBgn0003900","Drosophila","melanogaster"
"70","CG2988","ems","FBgn0000576","Drosophila","melanogaster"
"71","CG31240","repo","FBgn0011701","Drosophila","melanogaster"
"72","CG3143","foxo","FBgn0038197","Drosophila","melanogaster"
"73","CG31481","pb","FBgn0051481","Drosophila","melanogaster"
"74","CG3166","aop","FBgn0000097","Drosophila","melanogaster"
"75","CG32120","sens","FBgn0002573","Drosophila","melanogaster"
"76","CG32180","Eip74EF","FBgn0000567","Drosophila","melanogaster"
"77","CG32296","Mrtf","FBgn0052296","Drosophila","melanogaster"
"78","CG3258","ase","FBgn0000137","Drosophila","melanogaster"
"79","CG33133","grau","FBgn0001133","Drosophila","melanogaster"
"80","CG33183","Hr46","FBgn0000448","Drosophila","melanogaster"
"81","CG33261","Trl","FBgn0013263","Drosophila","melanogaster"
"82","CG33336","p53","FBgn0039044","Drosophila","melanogaster"
"83","CG3340","Kr","FBgn0001325","Drosophila","melanogaster"
"84","CG3388","gsb","FBgn0001148","Drosophila","melanogaster"
"85","CG33956","kay","FBgn0001297","Drosophila","melanogaster"
"86","CG34395","nub","FBgn0085424","Drosophila","melanogaster"
"87","CG34403","pan","FBgn0085432","Drosophila","melanogaster"
"88","CG3497","Su(H)","FBgn0004837","Drosophila","melanogaster"
"89","CG3578","bi","FBgn0000179","Drosophila","melanogaster"
"90","CG3629","Dll","FBgn0000157","Drosophila","melanogaster"
"91","CG3743","MTF-1","FBgn0040305","Drosophila","melanogaster"
"92","CG3758","esg","FBgn0001981","Drosophila","melanogaster"
"93","CG3796","ac","FBgn0000022","Drosophila","melanogaster"
"94","CG3827","sc","FBgn0004170","Drosophila","melanogaster"
"95","CG3956","sna","FBgn0003448","Drosophila","melanogaster"
"96","CG3978","pnr","FBgn0003117","Drosophila","melanogaster"
"97","CG3992","srp","FBgn0003507","Drosophila","melanogaster"
"98","CG4059","ftz-f1","FBgn0001078","Drosophila","melanogaster"
"99","CG42311","grh","FBgn0259211","Drosophila","melanogaster"
"100","CG42332","Camta","FBgn0259234","Drosophila","melanogaster"
"101","CG4257","Stat92E","FBgn0016917","Drosophila","melanogaster"
"102","CG42865","trh","FBgn0262139","Drosophila","melanogaster"
"103","CG4354","slbo","FBgn0005638","Drosophila","melanogaster"
"104","CG4380","usp","FBgn0003964","Drosophila","melanogaster"
"105","CG45051","sima","FBgn0266411","Drosophila","melanogaster"
"106","CG4654","Dp","FBgn0011763","Drosophila","melanogaster"
"107","CG4677","lmd","FBgn0039039","Drosophila","melanogaster"
"108","CG4717","kni","FBgn0001320","Drosophila","melanogaster"
"109","CG4952","dac","FBgn0005677","Drosophila","melanogaster"
"110","CG5102","da","FBgn0267821","Drosophila","melanogaster"
"111","CG5133","Doc1","FBgn0028789","Drosophila","melanogaster"
"112","CG5249","Blimp-1","FBgn0035625","Drosophila","melanogaster"
"113","CG5393","apt","FBgn0015903","Drosophila","melanogaster"
"114","CG5488","B-H2","FBgn0004854","Drosophila","melanogaster"
"115","CG5529","B-H1","FBgn0011758","Drosophila","melanogaster"
"116","CG5683","Aef1","FBgn0005694","Drosophila","melanogaster"
"117","CG5748","Hsf","FBgn0001222","Drosophila","melanogaster"
"118","CG5838","Dref","FBgn0015664","Drosophila","melanogaster"
"119","CG5893","D","FBgn0000411","Drosophila","melanogaster"
"120","CG6061","mip120","FBgn0033846","Drosophila","melanogaster"
"121","CG6096","E(spl)m5-HLH","FBgn0002631","Drosophila","melanogaster"
"122","CG6103","CrebB","FBgn0265784","Drosophila","melanogaster"
"123","CG6172","vnd","FBgn0261930","Drosophila","melanogaster"
"124","CG6376","E2f1","FBgn0011766","Drosophila","melanogaster"
"125","CG6494","h","FBgn0001168","Drosophila","melanogaster"
"126","CG6534","slou","FBgn0002941","Drosophila","melanogaster"
"127","CG6545","lbe","FBgn0011278","Drosophila","melanogaster"
"128","CG6667","dl","FBgn0260632","Drosophila","melanogaster"
"129","CG6716","prd","FBgn0003145","Drosophila","melanogaster"
"130","CG6794","Dif","FBgn0011274","Drosophila","melanogaster"
"131","CG6824","ovo","FBgn0003028","Drosophila","melanogaster"
"132","CG6993","ss","FBgn0003513","Drosophila","melanogaster"
"133","CG7260","byn","FBgn0011723","Drosophila","melanogaster"
"134","CG7391","Clk","FBgn0023076","Drosophila","melanogaster"
"135","CG7450","CrebA","FBgn0004396","Drosophila","melanogaster"
"136","CG7508","ato","FBgn0010433","Drosophila","melanogaster"
"137","CG7562","Trf","FBgn0010287","Drosophila","melanogaster"
"138","CG7672","gl","FBgn0004618","Drosophila","melanogaster"
"139","CG7734","shn","FBgn0003396","Drosophila","melanogaster"
"140","CG7771","sim","FBgn0004666","Drosophila","melanogaster"
"141","CG7803","z","FBgn0004050","Drosophila","melanogaster"
"142","CG7807","TfAP-2","FBgn0261953","Drosophila","melanogaster"
"143","CG7895","tin","FBgn0004110","Drosophila","melanogaster"
"144","CG7902","bap","FBgn0004862","Drosophila","melanogaster"
"145","CG7938","Sry-beta","FBgn0003511","Drosophila","melanogaster"
"146","CG7952","gt","FBgn0001150","Drosophila","melanogaster"
"147","CG8254","exex","FBgn0041156","Drosophila","melanogaster"
"148","CG8328","E(spl)mdelta-HLH","FBgn0002734","Drosophila","melanogaster"
"149","CG8333","E(spl)mgamma-HLH","FBgn0002735","Drosophila","melanogaster"
"150","CG8365","E(spl)m8-HLH","FBgn0000591","Drosophila","melanogaster"
"151","CG8376","ap","FBgn0267978","Drosophila","melanogaster"
"152","CG8396","Ssb-c31a","FBgn0015299","Drosophila","melanogaster"
"153","CG8522","SREBP","FBgn0261283","Drosophila","melanogaster"
"154","CG8544","sd","FBgn0003345","Drosophila","melanogaster"
"155","CG8567","Deaf1","FBgn0013799","Drosophila","melanogaster"
"156","CG8573","su(Hw)","FBgn0003567","Drosophila","melanogaster"
"157","CG8676","Hr39","FBgn0261239","Drosophila","melanogaster"
"158","CG8704","dpn","FBgn0010109","Drosophila","melanogaster"
"159","CG8933","exd","FBgn0000611","Drosophila","melanogaster"
"160","CG9015","en","FBgn0000577","Drosophila","melanogaster"
"161","CG9019","dsf","FBgn0015381","Drosophila","melanogaster"
"162","CG9045","Myb","FBgn0002914","Drosophila","melanogaster"
"163","CG9097","bab1","FBgn0004870","Drosophila","melanogaster"
"164","CG9151","acj6","FBgn0000028","Drosophila","melanogaster"
"165","CG9653","brk","FBgn0024250","Drosophila","melanogaster"
"166","CG9768","hkb","FBgn0261434","Drosophila","melanogaster"
"167","CG9786","hb","FBgn0001180","Drosophila","melanogaster"
"168","CG9908","disco","FBgn0000459","Drosophila","melanogaster"
"169","CG9954","maf-S","FBgn0034534","Drosophila","melanogaster"
"170","","","FBgn0000210","Drosophila","melanogaster"
"171","","","FBgn0259172","Drosophila","melanogaster"
